"No.","Time","Source","Destination","Protocol","Length","Info"
"91","0.103452158","172.20.206.179","224.0.0.251","MDNS","347","Standard query response 0x0000 PTR Pugal._dosvc._tcp.local SRV 0 0 7680 Pugal.local TXT A 172.20.206.179 AAAA fe80::2ad1:4983:5916:b020"
"92","0.103448936","172.20.205.63","224.0.0.251","MDNS","385","Standard query response 0x0000 PTR Chaitanya._dosvc._tcp.local SRV 0 0 7680 Chaitanya.local TXT A 172.20.205.63 AAAA fe80::ad81:ad2c:593a:243a"
"93","0.103456142","fe80::6e68:f648:a1af:fa65","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"94","0.103453567","fe80::e251:d8ff:fe3c:f79","ff02::fb","MDNS","445","Standard query response 0x0000 PTR PATH_7XPRO-34fcee708f7851c819fa6f3a7eedc055._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 34fcee70-8f78-51c8-19fa-6f3a7eedc055.local AAAA, cache flush fe80::e251:d8ff:fe3c:f79"
"95","0.103454087","fe80::e251:d8ff:fe3c:f79","ff02::fb","MDNS","445","Standard query response 0x0000 PTR PATH_7XPRO-34fcee708f7851c819fa6f3a7eedc055._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 34fcee70-8f78-51c8-19fa-6f3a7eedc055.local AAAA, cache flush fe80::e251:d8ff:fe3c:f79"
"96","0.103456257","fe80::6e68:f648:a1af:fa65","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"97","0.103470929","172.20.219.177","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"98","0.103504315","IntelCor_40:78:65","Broadcast","ARP","56","Who has 172.20.209.171? Tell 172.20.249.198"
"99","0.103504396","IntelCor_40:78:65","Broadcast","ARP","56","Who has 172.20.203.157? Tell 172.20.249.198"
"100","0.103471181","172.20.219.177","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"101","0.103504487","ea:d7:71:0b:a5:f4","Broadcast","ARP","56","Who has 172.20.196.218? Tell 172.20.221.1"
"102","0.103504560","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.226.128? Tell 172.20.192.1"
"103","0.103504665","da:78:2a:4e:60:ed","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.241.221"
"104","0.103504738","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.254.26? Tell 172.20.192.1"
"105","0.103504807","aa:27:b5:93:f9:72","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.213.69"
"106","0.103504879","IntelCor_cc:ae:1b","Broadcast","ARP","56","Who has 172.20.235.9? Tell 172.20.206.123"
"107","0.103549664","172.20.249.25","224.0.0.251","MDNS","413","Standard query response 0x0000 PTR PATH_7XPRO-34fcee708f7851c819fa6f3a7eedc055._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 34fcee70-8f78-51c8-19fa-6f3a7eedc055.local A, cache flush 172.20.249.25"
"108","0.103576080","XiaomiCo_89:b4:73","Broadcast","ARP","56","Who has 172.20.230.59? Tell 172.20.253.205"
"109","0.103576156","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.233.189? Tell 172.20.192.1"
"110","0.103576225","da:78:2a:4e:60:ed","Broadcast","ARP","56","Who has 172.20.242.230? Tell 172.20.241.221"
"111","0.103576298","c6:84:ca:f5:0d:fb","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.218.241"
"112","0.103549785","172.20.249.25","224.0.0.251","MDNS","413","Standard query response 0x0000 PTR PATH_7XPRO-34fcee708f7851c819fa6f3a7eedc055._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 34fcee70-8f78-51c8-19fa-6f3a7eedc055.local A, cache flush 172.20.249.25"
"113","0.103576372","aa:74:56:eb:af:ca","Broadcast","ARP","56","Who has 172.20.192.1? Tell 172.20.246.25"
"114","0.103576443","XiaomiCo_89:b4:73","Broadcast","ARP","56","Who has 172.20.234.41? Tell 172.20.253.205"
"115","0.103576516","IntelCor_71:b9:ed","Broadcast","ARP","56","Who has 172.20.238.146? Tell 172.20.214.222"
"116","0.103576585","da:78:2a:4e:60:ed","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.241.221"
"117","0.103609822","4a:e6:f9:d7:18:7a","Broadcast","LLC","137","S P, func=RNR, N(R)=64; DSAP NULL LSAP Individual, SSAP NULL LSAP Command"
"118","0.114498198","fe80::f8b2:9eff:fe5a:1616","ff02::fb","MDNS","145","Standard query 0x0000 ANY Android-7.local, ""QU"" question ANY Android-7.local, ""QU"" question A 172.20.235.64 AAAA fe80::f8b2:9eff:fe5a:1616"
"119","0.114499446","172.20.235.13","224.0.0.251","MDNS","297","Standard query response 0x0000 PTR INDU._dosvc._tcp.local SRV 0 0 7680 INDU.local TXT A 172.20.235.13 AAAA fe80::9c13:9027:86f2:b0f8"
"120","0.114499461","172.20.218.11","224.0.0.251","MDNS","402","Standard query response 0x0000 PTR Google-Home-Mini-2fa6acd8f6f85997b401665fa00cf18d._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2fa6acd8-f6f8-5997-b401-665fa00cf18d.local A, cache flush 172.20.218.11"
"121","0.114500344","172.20.235.92","224.0.0.251","MDNS","106","Standard query 0x7918 PTR SRIâ\200\231s MacBook Air._companion-link._tcp.local, ""QM"" question"
"122","0.114501314","172.20.235.64","224.0.0.251","MDNS","125","Standard query 0x0000 ANY Android-7.local, ""QU"" question ANY Android-7.local, ""QU"" question A 172.20.235.64 AAAA fe80::f8b2:9eff:fe5a:1616"
"123","0.114501492","fe80::9c13:9027:86f2:b0f8","ff02::fb","MDNS","317","Standard query response 0x0000 PTR INDU._dosvc._tcp.local SRV 0 0 7680 INDU.local TXT A 172.20.235.13 AAAA fe80::9c13:9027:86f2:b0f8"
